"ID","EXPLANATION","POOLID","QUESTION","EXPLANATION_GRAPHIC","HINT","HINT_GRAPHIC","QUESTION_GRAPHIC","STATUS","TYPE","TITLE","GRAPHIC","NEXT_QUESTION","LESSONID","IS_ENGLISH","QUESTION_GRAPHICID","HINT_GRAPHICID","EXPLANATION_GRAPHICID"
"1416314806000","<p><strong style=""color: rgb(0, 128, 0);"">Häufige Vektorgrafikformate:</strong></p><p><strong style=""color: rgb(0, 128, 0);"">SVG</strong></p><p><strong>S</strong>calable <strong>V</strong>ector <strong>G</strong>raphics (engl. für skalierbare Vektorgrafik). SVG-Dateien bestehen aus Text und können mit einem Texteditor bearbeitet werden.</p><p>Aktuelle Webbrowser können SVG-Grafiken darstellen.</p><p><strong style=""color: rgb(0, 128, 0);"">EPS</strong></p><p><strong>E</strong>nculapsed <strong>P</strong>ost<strong>S</strong>cript (<strong style=""color: rgb(0, 128, 0);"">EPS</strong>) wird von zahlreichen Programmen unterstützt und im professionellen Bereich häufig verwendet.</p>","3","Welche Dateitypen sind Vektorgrafiken?","ie_vektorgrafik.jpg","<p>Eine <strong>Vektorgrafik</strong> ist aus <strong>Objekten</strong> wie Linien, Kreisen, Polygonen oder&nbsp;Kurven zusammengesetzt.</p><p><strong>Häufige Vektorgrafikformate:</strong></p><p><strong>SVG</strong></p><p><strong>S</strong>calable <strong>V</strong>ector <strong>G</strong>raphics (engl. für skalierbare Vektorgrafik). SVG-Dateien bestehen aus Text und können mit einem Texteditor bearbeitet werden.</p><p>Aktuelle Webbrowser können SVG-Grafiken darstellen.</p><p><strong>EPS</strong></p><p><strong>E</strong>nculapsed <strong>P</strong>ost<strong>S</strong>cript (<strong>EPS</strong>) wird von zahlreichen Programmen unterstützt und im professionellen Bereich häufig verwendet.&nbsp;</p>","ie_vektorgrafik.jpg",,"0","0","03 Vektorgrafiken",,,"1574190091000","FALSE",,"413","413"
"1416314813000",,"3","Rechtslage in Deutschland: Eine Person findet sich auf einem veröffentlichtem Bild. Er ist gut erkennbar ein Hauptmotiv des Fotos. Wie ist die Rechtslage?",,"<p><strong>Rechtslage in Deutschland:</strong> Ein Bild einer Person darf nur mit Einwilligung des Abgebildeten verbreitet oder öffentlich zur Schau gestellt werden darf. Hierunter fällt beispielsweise die Veröffentlichung eines Fotos in einem sozialen Netzwerk.</p><p><strong>Ausnahmen:</strong> Der Abgebildete ist nur Beiwerk (Fotomotiv ist ein Bauwerk, die Person ist zufällig mit abgebildet) oder die abgebildete Person ist Teil einer Menschenansammlung.</p>",,,"0","1","18 Recht auf das Bild",,,"1574190091000","FALSE",,,
"1416314816000",,"3","Welche Farben werden im RGB-Modell verwendet?",,"",,,"0","0","22 RGB",,,"1574190091000","FALSE",,,
"1416314817000",,"3","Gehen bei der verlustbehafteten Komprimierung Bilddaten verloren?",,"<p>Die <strong>Komprimierung von Bildern</strong> reduziert die Größe der Datei. </p><p>Vorteil: Durch die Reduzierung der Dateigröße benötigen die <strong>Bilder</strong> weniger Speicherplatz.</p><p>Nachteil: Die Bildqualität leidet dadurch in einem gewissen Ausmaß.</p>",,,"0","1","23 Komprimierung",,,"1574190091000","FALSE",,,
"1416314818000",,"3","Was bedeutet lizenzfrei?",,"<p>Der Begriff „lizenzfrei“ ist hier irreführend. Diese Bilder sind nicht kostenlos!</p><p><br></p><p>Der/die Anwender*in erwirbt gegen eine einmalige Zahlung ein sehr weitreichendes Nutzungsrecht an einem Bild. So kann er das Bild <strong>auf der ganzen Welt und für beliebige Zeit verwenden</strong>.</p><p><br></p><p>Einschränkungen gibt es typischerweise im Druckbereich, wo z. B. ab einer Auflagenhöhe von 250.000 Exemplaren zusätzlich bezahlt werden muss.</p>",,,"0","0","24 Lizenzfrei",,,"1574190091000","FALSE",,,
"1416314819000","<p><span style=""color: rgb(128, 128, 128);"">Bild: Die Bildgröße und Auflösung eines Bildes kann eingestellt werden.</span></p><p>Je mehr sich das Auge der/des Betrachtenden dem Foto nähert, desto höher sollte die Auflösung sein.</p><p>Ein Poster sieht man aus einer größeren Entfernung, daher reicht eine geringere Auflösung wie z. B. 150 ppi.</p><p><strong>Auflösung selber berechnen:</strong></p><p><a href=""http://www.bildergalerie-hamburg.de/mobil/dpi-rechner.php"" rel=""noopener noreferrer"" target=""_blank"">http://www.bildergalerie-hamburg.de/mobil/dpi-rechner.php</a></p>","3","Welche Auflösung könnte für den Ausdruck eines Posters (75 cm x 50 cm) reichen?","ie_ppi.jpg","<p><span style=""color: rgb(128, 128, 128);"">Bild: Die Bildgröße und Auflösung eines Bildes kann eingestellt werden.</span></p><p>Je mehr sich das Auge der/des Betrachtenden dem Foto nähert, desto höher sollte die Auflösung sein.</p><p>Ein Poster sieht man aus einer größeren Entfernung an, daher reicht eine geringere Auflösung wie z. B. 150 ppi.</p><p><strong>Auflösung selber berechnen:</strong></p><p><a href=""http://www.bildergalerie-hamburg.de/mobil/dpi-rechner.php"" rel=""noopener noreferrer"" target=""_blank"">http://www.bildergalerie-hamburg.de/mobil/dpi-rechner.php</a></p>","ie_ppi.jpg",,"0","1","26 PPI",,,"1574190091000","FALSE",,"417","417"
"1416315217000",,"3","Mit welchem Bilddateityp ist keine verlustfreie Kompression möglich?",,"",,,"0","1","09 JPG",,,"1542953946000","FALSE",,,
"1416315220000",,"3","Welcher Begriff passt zu Farbton?",,"",,"ie_farbton.jpg","0","1","14 Farbton",,,"1542953946000","FALSE","433",,
"1416319614000","<p>Auf der <strong style=""color: rgb(0, 128, 0);"">Statusleiste</strong><span style=""color: rgb(0, 128, 0);""> </span>werden aktuelle Informationen zum Programm oder zum dargestellten Inhalt dargestellt:</p><p>Hier beispielsweise die Bildgröße, Zoom, ...</p>","1","Wie nennt man dieses Element? (Gelb markiert)",,"<p>Auf der <span style=""color: #008000;""><strong>Statusleiste</strong> </span>werden aktuelle Informationen zum Programm oder zum dargestellten Inhalt dargestellt.</p>",,"cg_statusleiste.jpg","1","1","20 Statusleiste",,,"1605025931000","FALSE","505",,
"1416319648000",,"4","Welcher Datentyp eignet sich am besten, um in einer Tabelle (für Schüler*innen oder pro Datensatz) eine eindeutige Nummer zu vergeben? ",,"<p>Ein <strong>""AutoWert""</strong>-Feld <strong>sorgt</strong> dafür, dass mit jedem der Tabelle hinzugefügten Datensatz automatisch eine fortlaufende Nummer eingegeben wird.</p><p><strong>Beispiel:</strong></p><p>Für eine SchuelerNr eignet sich der Datentyp <strong>Autowert</strong> – jedem/jeder Schüler*in wird damit automatisch eine neue Nummer zugewiesen.</p><p>Für Familienname, Vorname, PLZ, Ort, Straße etc. passt der Datentyp Text.</p>",,,"0","1","05 Autowert",,,"1431798256000","FALSE",,,
